2026-07-24 03:38:56 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:58 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:01 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:39:03 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:06 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:39:08 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:12 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:39:13 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:17 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:39:19 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:22 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:39:27 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:39:32 | INFO     | app.services.embedding_service:161 | Embedding model loaded ✓
2026-07-24 03:39:59 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:40:30 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:40:43 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:40:44 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:40:45 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:41:04 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:41:07 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:41:10 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:41:26 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:41:37 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:41:45 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:41:50 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:42:06 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:42:12 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:42:13 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:42:16 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:42:17 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:42:18 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:42:19 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:42:20 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
